COMPONENTE,PROGRAMA,"CODIGO
CUPS ACTUALES ","CODIGO
CUPS NUEVOS ",ACTIVIDAD,FINALIDAD,DIAGNOSTICOS ,DESCRIPCIÓN FRECUENCIA,POBLACIÓN GRUPO ETAREO
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,903868,903868,TRIGLICERIDOS,18,Z108,SEGÚN RIESGO,18 A 28 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,990204,"990201,990203,990204",EDUCACION INDIVIDUAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL JUVENTUD,9901,"990101,990103,990104",EDUCACION FAMILIAR - GRUPAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,890201,890201,CONSULTA POR MEDICINA GENERAL,11,Z108,"29 A 49 AÑOS - 1 CADA 5 AÑOS, 50 A 59 AÑOS- 1 CADA 3 AÑOS",29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,890203,890203,CONSULTA POR ODONTOLOGIA GENERAL ,11,Z108,"29 A 59 AÑOS (1 CADA 2 AÑOS)
",29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,890305,890305,CONSULTA DE CONTROL O SEGUIMIENTO DE PROGRAMA POR ENFERMERA,12,Z123,EXAMEN CLINICO DE LA MAMA A MUJERES MAYORES DE 40 AÑOS,EXAMEN CLINICO DE LA MAMA A MUJERES MAYORES DE 40 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,907106,907106,UROANALISIS,13,Z108,1 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,903895,903895,"CREATININA EN SUERO, ORINA U OTROS",14,Z108,2 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,903841,903841,"GLUCOSA EN SUERO, LCR U OTROS FLUIDOS",15,Z108,3 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,903815,903815,COLESTEROL DE ALTA DENSIDAD - HDL,16,Z108,4 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,903816,903816,COLESTEROL DE BAJA DENSIDAD ENZIMATICO – LDL,17,Z108,5 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,903818,903818,COLESTEROL TOTAL,18,Z108,6 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,903868,903868,TRIGLICERIDOS,19,Z108,7 VEZ EN CADA CONSULTA DE QUINQUENIO A PARTIR DE LOS 29 AÑOS,29 A 59 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,990204,"990201,990203,990204",EDUCACION INDIVIDUAL ,Ver finalidades al final,Z108,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL ADULTEZ,9901,"990101,990103,990104",EDUCACION FAMILIAR - GRUPAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
