CodigoCUPS,DescripcionCUPS,Grupo,Ruta
873422,RADIOGRAFIA DE RODILLAS COMPARATIVAS POSICION VERTICAL (UNICAMENTE VISTA ANTEROPOSTERIOR) +(4904),IMAGENOLOGIA,MORBILIDAD
873423,RADIOGRAFIA TANGENCIAL O AXIAL DE ROTULA(53661),IMAGENOLOGIA,MORBILIDAD
873431,RADIOGRAFIA DE TOBILLO AP LATERAL Y ROTACION INTERNA(4907),IMAGENOLOGIA,MORBILIDAD
873443,RADIOGRAFIAS COMPARATIVAS DE EXTREMIDADES INFERIORES +(4909),IMAGENOLOGIA,MORBILIDAD
873444,RADIOGRAFIAS EN EXTREMIDADES PROYECCIONES ADICIONALES: STRESS. TUNEL. OBLICUAS º(4910),IMAGENOLOGIA,MORBILIDAD
881401,ECOGRAFIA PELVICA GINECOLOGICA TRANSVAGINAL(5116),IMAGENOLOGIA,MORBILIDAD
881402,ECOGRAFIA PELVICA GINECOLOGICA TRANSABDOMINAL(5117),IMAGENOLOGIA,MORBILIDAD
881403,ECOGRAFIA PELVICA GINECOLOGICA (ESTUDIO INTEGRAL FOLICULAR CON ECO VAGINAL)(5118),IMAGENOLOGIA,MORBILIDAD
881431,ECOGRAFIA OBSTETRICA TRANSABDOMINAL(5121),IMAGENOLOGIA,MATERNO PERINATAL
881432,ECOGRAFIA OBSTETRICA TRANSVAGINAL(5122),IMAGENOLOGIA,MATERNO PERINATAL
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL(5313),MEDICINA GENERAL,MULTIRUTA
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL(5315),ODONTOLOGIA,MULTIRUTA
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA(5318),APOYO TERAPEUTICO,MULTIRUTA
890301,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL +(5410),MEDICINA GENERAL,MULTIRUTA
890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL +(5412),ODONTOLOGIA,MULTIRUTA
890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA +(5414),APOYO TERAPEUTICO,MULTIRUTA
890701,CONSULTA DE URGENCIAS. POR MEDICINA GENERAL(5477),URGENCIAS,MULTIRUTA
890703,CONSULTA DE URGENCIAS. POR ODONTOLOGIA GENERAL(5479),ODONTOLOGIA,MORBILIDAD
892901,TOMA NO QUIRURGICA DE MUESTRA O TEJIDO CERVICOVAGINAL PARA ESTUDIO CITOLOGICO(5522),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
893108,CONTROL DE CRECIMIENTO Y DESARROLLO DENTO-MAXILOFACIAL +(5532),ODONTOLOGIA,MORBILIDAD
895100,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE SOD(5573),PROCEDIMIENTOS,CARDIOMETABOLICAS
898015,ESTUDIO ANATOMOPATOLËGICO B┴SICO EN CITOLOG═A CERVICOVAGINAL MANUAL(72373),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
901001,ANTIBIOGRAMA (DISCO)(5675),LABORATORIO,MORBILIDAD
901002,ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA METODO AUTOMATIZADO(5676),LABORATORIO,MORBILIDAD
901003,ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA METODO MANUAL(5677),LABORATORIO,MORBILIDAD
901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ZIEHL-NEELSEN](5683),LABORATORIO,MORBILIDAD
901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA *+(5691),LABORATORIO,MATERNO PERINATAL
901235,UROCULTIVO [ANTIBIOGRAMA DE DISCO]+(5734),LABORATORIO,MATERNO PERINATAL
901236,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA AUTOMATIZADO)(5735),LABORATORIO,MATERNO PERINATAL
901237,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA MANUAL)(5736),LABORATORIO,MORBILIDAD
901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA+(5741),LABORATORIO,MORBILIDAD
901305,EXAMEN DIRECTO PARA HONGOS [KOH]+(5742),LABORATORIO,MORBILIDAD
902045,TIEMPO DE PROTROMBINA [PT](5813),LABORATORIO,MORBILIDAD
902049,TIEMPO DE TROMBOPLASTINA PARCIAL [PTT](5817),LABORATORIO,MORBILIDAD
902204,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] MANUAL(5848),LABORATORIO,MORBILIDAD
902205,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] AUTOMATIZADA º(5849),LABORATORIO,MORBILIDAD
902206,EXTENDIDO DE SANGRE PERIFERICA. ESTUDIO DE MORFOLOGIA +(5850),LABORATORIO,MORBILIDAD
902207,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL(5851),LABORATORIO,MORBILIDAD
902208,HEMOGRAMA II (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS E INDICES PLAQUETARIOS) SEMIAUTOMATIZADO(5852),LABORATORIO,MORBILIDAD
902211,HEMATOCRITO +(5855),LABORATORIO,PYMS
